Date,Close,Open,High,Low,Change %
2016-06-16,117.03,119.34,119.47,115.50,-1.95%
2016-06-17,117.42,117.06,118.14,116.93,0.33%
2016-06-20,117.59,117.49,119.19,117.35,0.14%
2016-06-21,117.75,117.54,118.70,117.30,0.14%
2016-06-22,117.94,117.80,118.62,117.42,0.16%
2016-06-23,120.89,117.97,121.03,117.95,2.50%
2016-06-24,113.64,120.94,122.11,109.53,-6.00%
2016-06-27,112.44,113.03,113.28,111.39,-1.06%
2016-06-28,113.72,112.44,113.89,111.89,1.14%
2016-06-29,114.39,113.72,114.53,112.92,0.59%
2016-06-30,114.71,114.42,114.86,113.34,0.28%
2016-07-01,114.17,114.67,114.86,113.64,-0.47%
2016-07-04,114.42,114.22,114.56,113.95,0.22%
2016-07-05,112.67,114.38,114.46,112.37,-1.53%
2016-07-06,112.47,112.67,112.72,110.81,-0.18%
2016-07-07,111.50,112.52,112.64,111.25,-0.86%
2016-07-08,111.15,111.47,111.87,110.58,-0.31%
2016-07-11,113.68,111.10,113.80,110.97,2.28%
2016-07-12,115.79,113.67,116.43,113.27,1.86%
2016-07-13,115.89,115.81,116.25,114.92,0.09%
2016-07-14,117.14,115.89,118.06,115.38,1.08%
2016-07-15,115.70,117.11,118.42,115.47,-1.23%
2016-07-18,117.56,115.77,117.72,115.73,1.61%
2016-07-19,116.97,117.54,117.77,116.53,-0.50%
2016-07-20,117.69,116.99,117.96,116.52,0.62%
2016-07-21,116.66,117.66,118.49,116.15,-0.88%
2016-07-22,116.42,116.72,117.31,116.20,-0.21%
2016-07-25,116.30,116.39,117.00,116.22,-0.10%
2016-07-26,114.99,116.29,116.43,114.45,-1.13%
2016-07-27,116.56,115.00,117.17,114.84,1.37%
2016-07-28,116.58,116.56,116.88,115.81,0.02%
2016-07-29,114.06,116.57,116.75,113.85,-2.16%
2016-08-01,114.30,114.08,114.76,113.92,0.21%
2016-08-02,113.28,114.30,114.82,113.00,-0.89%
2016-08-03,112.86,113.25,113.62,112.64,-0.37%
2016-08-04,112.64,112.86,113.28,112.47,-0.19%
2016-08-05,112.86,112.62,113.17,112.30,0.20%
2016-08-08,113.64,112.78,113.78,112.78,0.69%
2016-08-09,113.30,113.59,113.70,113.02,-0.30%
2016-08-10,113.20,113.29,113.47,112.79,-0.09%
2016-08-11,113.55,113.17,113.70,112.69,0.31%
2016-08-12,113.06,113.58,114.06,112.75,-0.43%
2016-08-15,113.25,113.03,113.31,112.66,0.17%
2016-08-16,113.14,113.27,113.38,112.36,-0.10%
2016-08-17,113.19,113.15,113.97,112.84,0.04%
2016-08-18,113.41,113.19,113.74,112.63,0.19%
2016-08-19,113.51,113.38,113.90,113.21,0.09%
2016-08-22,113.56,113.53,114.17,113.42,0.04%
2016-08-23,113.32,113.54,113.75,113.19,-0.21%
2016-08-24,113.14,113.33,113.59,112.80,-0.16%
2016-08-25,113.42,113.14,113.62,113.06,0.25%
2016-08-26,114.04,113.41,114.16,113.01,0.55%
2016-08-29,114.03,113.97,114.69,113.89,-0.01%
2016-08-30,114.73,114.06,114.97,113.83,0.61%
2016-08-31,115.42,114.75,115.45,114.66,0.60%
2016-09-01,115.61,115.42,115.84,115.02,0.16%
2016-09-02,116.01,115.63,116.41,115.47,0.35%
2016-09-05,115.29,115.95,116.16,115.10,-0.62%
2016-09-06,114.83,115.33,115.75,114.72,-0.40%
2016-09-07,114.37,114.80,114.97,113.81,-0.40%
2016-09-08,115.41,114.34,115.48,114.13,0.91%
2016-09-09,115.35,115.41,116.00,115.03,-0.05%
2016-09-12,114.42,115.34,115.48,114.22,-0.81%
2016-09-13,115.06,114.44,115.34,113.94,0.56%
2016-09-14,115.23,115.03,116.12,114.88,0.15%
2016-09-15,114.79,115.17,115.47,114.61,-0.38%
2016-09-16,114.14,114.81,114.94,113.94,-0.57%
2016-09-19,113.91,114.15,114.30,113.47,-0.20%
2016-09-20,113.44,113.92,114.03,113.39,-0.41%
2016-09-21,112.24,113.47,114.44,112.10,-1.06%
2016-09-22,112.92,112.27,113.50,112.06,0.61%
2016-09-23,113.38,112.94,113.67,112.89,0.41%
2016-09-26,112.92,113.42,113.53,112.78,-0.41%
2016-09-27,112.65,112.93,113.61,112.24,-0.24%
2016-09-28,112.91,112.64,113.11,112.44,0.23%
2016-09-29,113.38,112.92,114.23,112.86,0.42%
2016-09-30,113.92,113.40,114.13,112.59,0.48%
2016-10-03,113.95,113.88,114.15,113.64,0.03%
2016-10-04,115.30,113.92,115.42,113.83,1.18%
2016-10-05,115.98,115.31,116.30,115.12,0.59%
2016-10-06,115.89,115.94,116.28,115.69,-0.08%
2016-10-07,115.28,115.89,116.03,115.03,-0.53%
2016-10-10,115.39,115.23,115.77,115.03,0.10%
2016-10-11,114.42,115.39,115.81,113.98,-0.84%
2016-10-12,114.72,114.43,115.23,114.03,0.26%
2016-10-13,114.65,114.71,115.18,113.92,-0.06%
2016-10-14,114.31,114.67,115.08,114.19,-0.30%
2016-10-17,114.28,114.29,114.60,114.01,-0.03%
2016-10-18,114.05,114.30,114.71,113.95,-0.20%
2016-10-19,113.52,114.05,114.18,113.11,-0.46%
2016-10-20,113.62,113.52,114.55,113.36,0.09%
2016-10-21,113.02,113.61,113.89,112.61,-0.53%
2016-10-24,113.37,113.03,113.62,112.82,0.31%
2016-10-25,113.48,113.36,113.94,113.27,0.10%
2016-10-26,113.97,113.50,114.23,113.25,0.43%
2016-10-27,114.73,113.97,114.89,113.69,0.67%
2016-10-28,115.04,114.76,115.38,114.58,0.27%
2016-10-31,115.10,115.03,115.28,114.58,0.05%
2016-11-01,115.14,115.14,115.73,114.83,0.03%
2016-11-02,114.64,115.12,115.20,114.34,-0.43%
2016-11-03,114.37,114.65,114.81,114.00,-0.24%
2016-11-04,114.91,114.38,114.94,114.13,0.47%
2016-11-07,115.33,114.86,115.89,114.81,0.37%
2016-11-08,115.95,115.32,116.04,115.10,0.54%
2016-11-09,115.28,115.92,116.05,113.69,-0.58%
2016-11-10,116.36,115.28,116.62,114.94,0.94%
2016-11-11,115.81,116.41,116.56,115.31,-0.47%
2016-11-14,116.42,115.57,116.57,115.51,0.53%
2016-11-15,117.06,116.42,117.25,116.05,0.55%
2016-11-16,116.61,117.03,117.53,116.47,-0.38%
2016-11-17,117.01,116.64,117.31,116.23,0.34%
2016-11-18,117.47,117.05,117.62,116.78,0.39%
2016-11-21,117.81,117.36,118.07,117.31,0.29%
2016-11-22,118.11,117.77,118.18,117.34,0.25%
2016-11-23,118.74,118.11,119.01,117.67,0.53%
2016-11-24,119.61,118.75,119.91,118.50,0.73%
2016-11-25,119.72,119.64,120.20,119.28,0.09%
2016-11-28,118.81,119.78,120.00,118.67,-0.76%
2016-11-29,119.67,118.80,120.00,118.48,0.72%
2016-11-30,121.19,119.69,121.33,119.42,1.27%
2016-12-01,121.65,121.18,121.84,120.82,0.38%
2016-12-02,121.22,121.66,121.95,120.87,-0.35%
2016-12-05,122.54,121.18,123.23,118.68,1.09%
2016-12-06,122.20,122.58,123.00,121.92,-0.28%
2016-12-07,122.33,122.21,122.62,122.00,0.11%
2016-12-08,121.06,122.31,123.36,120.86,-1.04%
2016-12-09,121.89,121.09,121.91,120.97,0.69%
2016-12-12,122.32,121.57,122.93,121.32,0.35%
2016-12-13,122.41,122.35,122.83,122.06,0.07%
