Date,Close,Open,High,Low,Change %
2017-06-26,1.1182,1.1202,1.1222,1.1173,-0.11%
2017-06-27,1.1339,1.1183,1.1351,1.1178,1.40%
2017-06-28,1.1378,1.1339,1.1392,1.1292,0.34%
2017-06-29,1.1441,1.1376,1.1446,1.1373,0.55%
2017-06-30,1.1426,1.1442,1.1448,1.1393,-0.13%
2017-07-03,1.1364,1.1422,1.1431,1.1357,-0.54%
2017-07-04,1.1345,1.1366,1.1380,1.1338,-0.17%
2017-07-05,1.1353,1.1345,1.1369,1.1312,0.07%
2017-07-06,1.1423,1.1351,1.1425,1.1329,0.62%
2017-07-07,1.1401,1.1423,1.1440,1.1379,-0.19%
2017-07-10,1.1400,1.1391,1.1418,1.1381,-0.01%
2017-07-11,1.1467,1.1399,1.1481,1.1383,0.59%
2017-07-12,1.1412,1.1467,1.1491,1.1392,-0.48%
2017-07-13,1.1399,1.1413,1.1459,1.1373,-0.11%
2017-07-14,1.1469,1.1400,1.1473,1.1392,0.61%
2017-07-17,1.1479,1.1463,1.1488,1.1433,0.09%
2017-07-18,1.1555,1.1479,1.1585,1.1473,0.66%
2017-07-19,1.1515,1.1553,1.1559,1.1509,-0.35%
2017-07-20,1.1631,1.1513,1.1657,1.1479,1.01%
2017-07-21,1.1663,1.1634,1.1684,1.1620,0.28%
2017-07-24,1.1642,1.1662,1.1688,1.1628,-0.18%
2017-07-25,1.1652,1.1639,1.1713,1.1631,0.09%
2017-07-26,1.1734,1.1648,1.1741,1.1613,0.70%
2017-07-27,1.1677,1.1734,1.1777,1.1649,-0.49%
2017-07-28,1.1752,1.1677,1.1765,1.1671,0.64%
2017-07-31,1.1842,1.1737,1.1847,1.1723,0.77%
2017-08-01,1.1801,1.1841,1.1846,1.1784,-0.35%
2017-08-02,1.1856,1.1802,1.1911,1.1794,0.47%
2017-08-03,1.1870,1.1856,1.1894,1.1831,0.12%
2017-08-04,1.1772,1.1871,1.1893,1.1731,-0.83%
2017-08-07,1.1795,1.1768,1.1816,1.1768,0.20%
2017-08-08,1.1750,1.1794,1.1825,1.1714,-0.38%
2017-08-09,1.1759,1.1752,1.1765,1.1689,0.08%
2017-08-10,1.1772,1.1759,1.1786,1.1704,0.11%
2017-08-11,1.1820,1.1772,1.1846,1.1747,0.41%
2017-08-14,1.1780,1.1806,1.1840,1.1770,-0.34%
2017-08-15,1.1735,1.1780,1.1794,1.1688,-0.38%
2017-08-16,1.1770,1.1734,1.1780,1.1682,0.30%
2017-08-17,1.1724,1.1767,1.1790,1.1662,-0.39%
2017-08-18,1.1762,1.1723,1.1775,1.1707,0.32%
2017-08-21,1.1816,1.1750,1.1830,1.1731,0.46%
2017-08-22,1.1762,1.1815,1.1826,1.1745,-0.46%
2017-08-23,1.1808,1.1763,1.1825,1.1740,0.39%
2017-08-24,1.1799,1.1807,1.1821,1.1784,-0.08%
2017-08-25,1.1926,1.1799,1.1942,1.1773,1.08%
2017-08-28,1.1979,1.1926,1.1985,1.1917,0.44%
2017-08-29,1.1972,1.1978,1.2069,1.1944,-0.06%
2017-08-30,1.1883,1.1974,1.1986,1.1881,-0.74%
2017-08-31,1.1910,1.1884,1.1914,1.1823,0.23%
2017-09-01,1.1859,1.1911,1.1981,1.1850,-0.43%
2017-09-04,1.1896,1.1858,1.1923,1.1853,0.31%
2017-09-05,1.1914,1.1896,1.1941,1.1868,0.15%
